_id,Forward_Sortation_Area,Name_of_Dog,Breed,Color,Ward_Number,Ward_Name,Bite_Circumstance,Location_of_Incident,Date_of_Dangerous_Act
274,M1S,COOKIE,AMER BULLDOG / CHOW CHOW,BR BRINDLE,23,Scarborough North,VERY SEVERE,PARK - LEASH REQUIRED AREA,2023-08-02
275,M1S,BLANCA,AMER BULLDOG / CHOW CHOW,WHITE / BROWN,23,Scarborough North,SEVERE,PARK - LEASH REQUIRED AREA,2023-08-02
276,M1E,RAGZ,BERNESE MTN DOG / POODLE STND,BLACK / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2023-08-12
277,M4J,OAKLEY,REDBONE HOUND,RED,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-08-14
278,M5S,LOKI,GOLDEN RETR / POODLE TOY,BLACK,11,University-Rosedale,NOT A BITE,PUBLIC PROPERTY,2023-08-16
279,M3C,ARCHIE,AMER BULLDOG / MASTIFF,GREY,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-08-20
280,M6C,MONTY,POODLE STND / BELG MALINOIS,BLACK,09,Davenport,SEVERE,PUBLIC PROPERTY,2023-08-28
281,M3H,NALA,LABRADOR RETR,BLACK,06,York Centre,SEVERE,PARK - LEASH REQUIRED AREA,2023-09-01
282,M1E,LEVI,GERM SHEPHERD / SIBERIAN HUSKY,BLACK / WHITE,24,Scarborough-Guildwood,NOT A BITE,PUBLIC PROPERTY,2023-09-01
283,M1L,MOTTO,AMER BULLDOG MIX,GREY / WHITE,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-09-04
284,M8W,PHOENIX,MASTIFF MIX,TAN,03,Etobicoke-Lakeshore,NON SEVERE,PUBLIC PROPERTY,2023-09-07
285,M6G,MANDO,AUST SHEPHERD,BROWN / WHITE,12,Toronto-St. Paul's,SEVERE,OTHER PRIVATE PROPERTY,2023-09-10
286,M1M,SIMBA,GOLDEN RETR,GOLD,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-09-10
287,M6M,ICE,AMER BULLDOG / CHINESE SHARPEI,BROWN / WHITE,05,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,2023-09-16
288,M8W,NALA,AMER BULLDOG MIX,BR BRINDLE / WHITE,03,Etobicoke-Lakeshore,SEVERE,OTHER PRIVATE PROPERTY,2023-09-16
289,M5P,DOJI,AUST CATTLE DOG / ROTTWEILER,RED / TAN,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2023-09-26
290,M3A,ASYA,SIBERIAN HUSKY,BROWN / WHITE,16,Don Valley East,SEVERE,PUBLIC PROPERTY,2023-10-03
291,M9C,NAIROBI,AMER BULLDOG,WHITE / TAN,02,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,2023-10-07
292,M1E,LUNA,GERM SHEPHERD / LABRADOR RETR,BLACK,24,Scarborough-Guildwood,SEVERE,OTHER PRIVATE PROPERTY,2023-10-09
293,M4S,GIGI,ALASKAN HUSKY,BLACK,12,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,2023-10-12
294,M9B,MAX,GOLDEN RETR,GOLD,02,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2023-10-13
295,M5R,TITAN,AMER BULLDOG / AMERICAN STAFF,GREY / WHITE,11,University-Rosedale,NON SEVERE,OTHER PRIVATE PROPERTY,2023-10-20
296,M5V,ARCHER,ROTTWEILER,BLACK / TAN,10,Spadina-Fort York,SEVERE,PARK - LEASH REQUIRED AREA,2023-10-27
297,M6M,LEO,PARSON RUSS TER / SHIH TZU,TAN,05,York South-Weston,NOT A BITE,PUBLIC PROPERTY,2023-10-29
